time,x,y,z
0,-0.002,0.1,0.001
0.001,-0.0594032,-0.221309,-0.0566834
0.002,0.0544302,-0.286182,0.0961155
0.003,-0.0684318,-0.178602,-0.0223178
0.004,-0.50941,-0.283338,-0.310761
0.005,-0.152581,-0.800487,0.0997708
0.006,-0.314778,-0.27955,-0.224297
0.007,0.0345507,-0.240616,0.0543604
0.008,-0.627303,-0.277473,-0.350795
0.009,0.0486439,0.0566315,0.0477222
0.01,0.0901694,0.296062,0.150929
0.011,-0.0866931,0.455667,0.129148
0.012,-0.756542,-0.174589,-0.353639
0.013,0.107748,0.174301,0.162054
0.014,-0.361486,-1.27403,1.29057
0.015,0.0809676,0.266836,0.127183
0.016,0.0183516,0.327234,0.106323
0.017,-0.762566,0.895246,0.396276
0.018,-0.436231,0.872356,0.383268
0.019,-0.202875,0.830048,0.368325
0.02,-0.242881,0.0674531,-0.110012
0.021,-0.0123931,-0.33554,0.0332907
0.022,-0.0942183,0.679666,0.270749
0.023,-0.0538217,-0.516152,0.643726
0.024,0.105823,-0.0660175,0.232194
0.025,-0.0571892,-0.755313,0.613598
0.026,-0.779873,-0.575436,-0.45726
0.027,-0.196599,-0.159516,-0.146909
0.028,-0.0722788,0.0492757,-0.0359804
0.029,-0.299524,0.126009,-0.106389
0.03,-0.0189892,-0.1433,-0.0240698
0.031,-0.607196,-0.985896,-0.294736
0.032,-0.78464,0.856447,0.358429
0.033,-0.0173841,-0.669627,0.310654
0.034,0.0519403,0.0272267,0.0471833
0.035,-0.253006,0.625334,0.19899
0.036,0.0122099,0.523754,0.205539
0.037,0.0866741,0.200903,0.112554
0.038,0.0843748,0.307318,0.146936
0.039,0.024378,-0.564953,0.372475
0.04,-0.194453,0.237097,-0.0222504
0.041,-0.167147,-0.947239,0.272338
0.042,-0.0891128,0.682437,0.274051
0.043,-0.110812,0.470291,0.127938
0.044,-0.522062,-0.253341,-0.308779
0.045,-0.318179,-0.108812,-0.19449
0.046,-0.484729,1.01925,0.521498
0.047,-0.0457501,0.434727,0.129575
0.048,0.0644729,0.161156,0.154955
0.049,0.0512943,0.00246399,0.0444682
0.05,0.102841,-0.0430458,0.113531
0.051,0.121016,0.0483893,0.159048
0.052,-0.150416,0.500619,0.136131
0.053,-0.318281,-1.09506,1.27802
0.054,-0.162666,0.785222,0.337697
0.055,-0.47471,0.0847959,-0.174284
0.056,0.0110925,-0.375449,0.062821
0.057,-0.114563,0.0506655,-0.0596891
0.058,0.0267059,0.0990409,0.142109
0.059,-0.06587,-0.0463133,0.0475943
0.06,0.0906679,0.0173375,0.213137
0.061,0.105261,0.174893,0.130534
0.062,-0.0105751,0.0839851,0.088486
0.063,-0.043198,-0.738903,0.33875
0.064,-0.162452,0.421647,0.0848536
0.065,-0.0153512,-0.219879,-0.00521379
0.066,-0.676107,-0.691771,-0.413168
0.067,0.033123,-0.112035,0.0248829
0.068,0.0502144,-0.311262,0.100533
0.069,-0.051585,-0.0575492,-0.0105431
0.07,-0.260126,0.623455,0.196398
0.071,0.0967331,-0.188091,0.145263
0.072,0.113453,0.0267835,0.194027
0.073,-0.0696578,-0.820658,0.441527
0.074,-0.208668,-0.467734,-0.149514
0.075,-0.718975,0.953982,0.45446
0.076,0.0663139,-0.206301,0.0940991
0.077,-0.0722949,-0.713226,0.177044
0.078,0.0432064,-0.248577,0.381559
0.079,-0.449972,-1.44223,0.483266
0.08,0.0562392,0.146692,0.0712666
0.081,-0.741053,-0.0118531,-0.279492
0.082,-0.829612,0.721188,0.230915
0.083,-0.0297419,-0.351063,-0.00407916
0.084,-0.40071,0.107308,-0.144468
0.085,0.0831733,0.164743,0.0999443
0.086,0.106323,-0.0528759,0.122471
0.087,0.00390093,0.197601,0.0488305
0.088,-0.087442,0.697326,0.285543
0.089,-0.271376,0.355519,0.0174564
0.09,-0.265775,0.818591,0.350547
0.091,-0.021873,0.420938,0.131758
0.092,0.0508057,0.424018,0.171783
0.093,-0.254317,0.667926,0.230845
0.094,-0.084421,-0.247149,-0.0762118
0.095,-0.422419,-0.137857,-0.242601
0.096,-0.726865,-0.17688,-0.347213
0.097,-0.331588,0.158397,-0.101504
0.098,-0.676264,-0.175295,-0.333541
0.099,0.0667454,-0.397597,0.234459
0.1,0.0707937,0.0427994,0.202046
0.101,-0.388393,0.981599,0.488074
0.102,0.0140137,0.25681,0.0755191
0.103,-0.88488,0.168145,-0.200981
0.104,0.107965,0.192162,0.141462
0.105,0.0992434,-0.0457632,0.10704
0.106,-0.205075,-0.475229,0.786314
0.107,0.0252648,-0.531049,0.44293
0.108,0.0306162,-0.543424,0.324238
0.109,-0.135712,-0.414239,-0.097787
0.11,-0.277798,-0.378487,-0.207823
0.111,-0.0571387,-0.22648,-0.0544151
0.112,0.115893,0.0801125,0.137051
0.113,0.0243426,0.196366,0.0612133
0.114,0.0629584,-0.317826,0.133086
0.115,-0.129617,-0.446293,-0.0842306
0.116,0.0698743,0.0403836,0.0669582
0.117,-0.20694,-0.429543,-0.154653
0.118,0.0628427,-0.221066,0.0938214
0.119,-0.153149,0.447331,0.102697
0.12,-0.654731,-1.14178,-0.248071
0.121,0.0971305,-0.131007,0.121612
0.122,0.054784,-0.243793,0.0889212
0.123,-0.0856886,-0.5343,0.000891509
0.124,-0.0650643,-0.37802,-0.0366366
0.125,-0.273813,0.0422752,-0.13061
0.126,-0.0452829,-0.585422,0.645591
0.127,-0.111139,-0.293539,-0.0946341
0.128,-0.186117,-0.305984,-0.149689
0.129,-0.0283074,-0.13852,0.321202
