time,x,y,z
0,-0.002,0.0998,0.000796004
0.001,-0.367439,0.679317,0.218795
0.002,-0.295345,-0.239421,-0.208592
0.003,-0.224191,-0.942924,0.224491
0.004,0.0827128,-0.201882,0.125379
0.005,0.0806942,0.0808934,0.143984
0.006,-0.00952712,0.510462,0.195201
0.007,-0.128295,0.44775,0.109294
0.008,-0.37488,0.42711,0.0260182
0.009,-0.342809,-0.510449,-0.220777
0.01,-0.0916769,-0.783341,0.335714
0.011,0.0973452,-0.112956,0.12319
0.012,0.0654576,0.133922,0.122768
0.013,-0.0463667,0.554859,0.208323
0.014,-0.174231,0.454203,0.0979939
0.015,-0.47222,0.373859,-0.0312898
0.016,-0.316506,-0.747324,-0.106494
0.017,0.0416981,-0.393352,0.16035
0.018,0.0959598,-0.0454481,0.184308
0.019,0.0452793,0.210524,0.105392
0.02,-0.114317,0.629327,0.237499
0.021,-0.261619,0.460966,0.0769895
0.022,-0.520464,0.0879911,-0.203446
0.023,-0.159079,-0.778233,0.128038
0.024,0.0308633,-0.45338,0.345206
0.025,0.096865,0.0803464,0.151152
0.026,0.0170396,0.418636,0.158265
0.027,-0.0777142,0.34764,0.0726323
0.028,-0.391129,0.559649,0.117995
0.029,-0.184323,-0.34538,-0.137065
0.03,-0.228172,-1.02983,0.406793
0.031,0.0577082,-0.283579,0.292453
0.032,0.0854593,0.242131,0.140064
0.033,-0.017717,0.369678,0.114308
0.034,-0.138107,0.373432,0.0619848
0.035,-0.356092,0.169066,-0.117133
0.036,-0.443365,-0.733372,-0.222694
0.037,-0.004363,-0.587892,0.313988
0.038,0.104396,-0.0512837,0.179222
0.039,0.0415217,0.130908,0.0947447
0.04,-0.0311992,0.302332,0.0743793
0.041,-0.265867,0.524634,0.11976
0.042,-0.364973,-0.0558451,-0.206231
0.043,-0.272233,-0.890578,0.0646989
0.044,0.0308121,-0.470771,0.330546
0.045,0.0967607,0.0442117,0.15891
0.046,0.0301526,0.291914,0.113288
0.047,-0.0703664,0.357628,0.0811789
0.048,-0.357576,0.543899,0.112878
0.049,-0.351,-0.315663,-0.242085
0.05,-0.19951,-0.937308,0.279658
0.051,0.0861178,-0.170574,0.118485
0.052,0.0973588,0.200478,0.132293
0.053,0.00421359,0.296464,0.0951868
0.054,-0.232894,0.714605,0.274635
0.055,-0.378916,0.322722,-0.0412716
0.056,-0.203013,-0.515331,-0.111177
0.057,-0.194033,-1.00119,0.535758
0.058,0.0421276,-0.252544,0.293317
0.059,0.0712297,0.317961,0.147035
0.06,-0.0541023,0.496946,0.168196
0.061,-0.2938,0.719467,0.266413
0.062,-0.396561,0.120538,-0.152182
0.063,-0.26807,-0.779713,-0.0317862
0.064,-0.00546246,-0.588111,0.366669
0.065,0.0432288,-0.160394,0.239109
0.066,0.0461983,0.322361,0.135497
0.067,-0.0927347,0.531538,0.175652
0.068,-0.358204,0.720526,0.25563
0.069,-0.145141,-0.14301,-0.114795
0.07,-0.333498,-1.00887,0.109109
0.071,0.0280529,-0.458004,0.352692
0.072,0.10612,0.128215,0.129283
0.073,0.012855,0.423532,0.158454
0.074,-0.111906,0.455006,0.119656
0.075,-0.422915,0.654089,0.188028
0.076,-0.467516,-0.316592,-0.298938
0.077,-0.121533,-0.826268,0.306444
0.078,0.0677613,-0.275853,0.275997
0.079,0.0833546,0.177595,0.135579
0.08,-0.0204129,0.467415,0.162771
0.081,-0.103642,0.335409,0.0550236
0.082,-0.458986,0.504455,0.0631128
0.083,-0.101356,-0.336933,-0.0708471
0.084,-0.0599532,-0.727989,0.376759
0.085,0.091362,-0.127496,0.211812
0.086,0.0640538,0.232236,0.125891
0.087,-0.0750158,0.577041,0.212059
0.088,-0.296278,0.699758,0.249249
0.089,-0.15761,-0.0727312,-0.113344
0.09,-0.413733,-0.926449,-0.0793934
0.091,0.0595208,-0.363379,0.192076
0.092,0.0783283,-0.030539,0.179204
0.093,0.0325444,0.40827,0.161531
0.094,-0.0797266,0.409012,0.105073
0.095,-0.33785,0.560301,0.129421
0.096,-0.130129,-0.188053,-0.107286
0.097,-0.0256764,-0.402723,0.0361479
0.098,0.085184,-0.208518,0.136042
0.099,0.0829052,0.0993841,0.141825
0.1,-0.0110943,0.490231,0.180919
0.101,-0.194719,0.646707,0.228688
0.102,-0.149299,0.0864635,-0.070056
0.103,-0.335303,-0.532002,-0.210825
0.104,-0.0487882,-0.677347,0.273519
0.105,0.0200548,-0.324241,0.342665
0.106,0.0754529,0.264601,0.125185
0.107,-0.0469329,0.483824,0.163152
0.108,-0.232202,0.556336,0.151035
0.109,-0.421222,0.198219,-0.122034
0.11,-0.0742354,-0.372251,-0.035016
0.111,0.0485822,-0.31022,0.10981
0.112,0.111312,0.0225283,0.134044
0.113,0.0392498,0.182109,0.0947126
0.114,-0.128173,0.661393,0.25771
0.115,-0.139102,0.211732,-0.0185439
0.116,-0.360726,-0.199279,-0.236184
0.117,-0.195638,-0.875071,0.182361
0.118,0.0830855,-0.249357,0.160446
0.119,0.0854849,0.083846,0.146277
0.12,-0.00252779,0.486599,0.182916
0.121,-0.0918059,0.34324,0.064126
0.122,-0.426683,0.531717,0.0897762
0.123,-0.137018,-0.354549,-0.098318
0.124,-0.045898,-0.674263,0.280588
0.125,0.017369,-0.324769,0.344646
0.126,0.0735714,0.238789,0.133801
0.127,-0.0465722,0.503864,0.175632
0.128,-0.173208,0.437144,0.0875891
0.129,-0.403421,0.209189,-0.111347
0.13,-0.153731,-0.567691,-0.0379635
0.131,0.044898,-0.380815,0.157122
0.132,0.0556987,-0.137592,0.227372
0.133,0.0450818,0.337536,0.13068
0.134,-0.10839,0.591603,0.211309
0.135,-0.29248,0.52434,0.113119
0.136,-0.228589,-0.192139,-0.168328
0.137,-0.131695,-0.717678,0.110393
0.138,-0.0191025,-0.556253,0.452713
0.139,0.0906304,0.0825146,0.148983
0.14,0.00523379,0.46702,0.175058
0.141,-0.0944697,0.374058,0.0794229
0.142,-0.321075,0.347554,-0.0109491
0.143,-0.35089,-0.456004,-0.235124
0.144,-0.113383,-0.818971,0.324321
0.145,0.084174,-0.221318,0.239732
0.146,0.0552541,0.0718994,0.122149
0.147,-0.0375674,0.505174,0.178488
