time,x,y,z
0,-0.002,0.09995,0.00085
0.001,-0.392787,0.476257,0.0701494
0.002,-0.119689,-0.554977,-0.0226297
0.003,0.0020139,-0.472964,0.444657
0.004,0.0570081,0.345314,0.143225
0.005,-0.133765,0.486165,0.132317
0.006,-0.488877,0.338696,-0.0353773
0.007,-0.024447,-0.470409,0.0633098
0.008,0.0711328,-0.16683,0.261349
0.009,0.00815969,0.466859,0.175168
0.01,-0.137995,0.331488,0.0434042
0.011,-0.417047,-0.184562,-0.245778
0.012,0.00977783,-0.533079,0.208633
0.013,0.0606822,-0.0438228,0.200681
0.014,-0.0535287,0.556127,0.200511
0.015,-0.238795,0.363223,0.0305431
0.016,-0.4564,-0.5313,-0.290677
0.017,0.0719118,-0.307886,0.161791
0.018,0.0625792,0.114344,0.138157
0.019,-0.128264,0.648485,0.242089
0.02,-0.175225,0.0869366,-0.0753425
0.021,-0.285857,-0.866578,-0.0175207
0.022,0.0950536,-0.216978,0.222296
0.023,0.0407951,0.202931,0.11048
0.024,-0.194128,0.637125,0.219063
0.025,-0.240542,-0.0631097,-0.146871
0.026,-0.258433,-1.05322,0.277219
0.027,0.109477,-0.00665461,0.132845
0.028,0.00824149,0.338095,0.118315
0.029,-0.297641,0.715083,0.261773
0.03,-0.178199,-0.273105,-0.140406
0.031,-0.0688788,-0.773702,0.4289
0.032,0.104802,0.132461,0.145665
0.033,-0.0223797,0.304552,0.0839349
0.034,-0.350024,0.561095,0.136625
0.035,-0.192261,-0.533703,-0.108306
0.036,-0.0479583,-0.663053,0.530842
0.037,0.0786554,0.267114,0.131165
0.038,-0.0788781,0.404808,0.104081
0.039,-0.452335,0.494005,0.0738147
0.04,-0.0725034,-0.512625,0.0156219
0.041,0.0524314,-0.303317,0.329482
0.042,0.0403442,0.399372,0.159115
0.043,-0.0984686,0.315277,0.0501187
0.044,-0.451833,0.108362,-0.153848
0.045,-0.0217629,-0.551906,0.13601
0.046,0.0568665,-0.145654,0.257286
0.047,-0.0130811,0.478389,0.169077
0.048,-0.196587,0.39867,0.0621172
0.049,-0.504024,-0.219197,-0.284366
0.05,0.0457115,-0.39106,0.154449
0.051,0.0683358,0.0340471,0.167596
0.052,-0.0814988,0.600011,0.221052
0.053,-0.161355,0.165751,-0.0407244
0.054,-0.367034,-0.714834,-0.190522
0.055,0.0835353,-0.28712,0.197778
